WK_DT,PIPE_NO,DV_R,DA_R,AV_R,AA_R,PM_R,FIN_JGMT
20220331210011700,PP22032200038,250,7000,255,4000,5000,0
20220331210012000,PP22032200038,255,7100,260,4200,5100,0
20220331210012000,PP22032200038,260,7200,255,4100,5200,0
20220331210012100,PP22032200038,255,7100,250,4300,5100,0
20220331210012100,PP22032200038,250,7000,255,4400,5000,0
20220331210012300,PP22032200038,255,6900,260,4200,4900,0
20220331210012300,PP22032200038,260,6800,255,4000,4800,0
20220331210012600,PP22032200038,255,6900,250,3900,4700,0
20220331210012600,PP22032200038,250,7000,250,3800,4800,0
20220331210012800,PP22032200038,255,7100,255,3850,4900,0
20220331210012800,PP22032200038,260,7200,260,3900,5000,0
20220331210013100,PP22032200038,255,7100,255,4000,5100,0
20220331210013100,PP22032200038,250,7000,250,4100,5200,0
20220331210013200,PP22032200038,255,6900,255,4200,5000,0
20220331210013200,PP22032200038,260,6800,260,4300,4900,0
20220331210013400,PP22032200038,255,6900,255,4400,4800,0
20220331210013400,PP22032200038,260,7000,250,4500,4700,0
20220331210013700,PP22032200038,255,7100,255,4200,4800,0
20220331210013700,PP22032200038,250,7200,260,4100,4900,0
20220331210013900,PP22032200038,255,7100,255,4000,5000,0
20220331210013900,PP22032200038,260,7000,250,4000,5100,0
20220331210014000,PP22032200038,255,7000,255,4200,5200,0
20220331210014000,PP22032200038,250,7100,260,4100,5100,0
20220331210014300,PP22032200038,250,7200,255,4300,5000,0
20220331210014300,PP22032200038,255,7100,260,4400,5100,0
20220331210014500,PP22032200038,260,7000,255,4200,5200,0
20220331210014500,PP22032200038,255,6900,250,4000,5100,0
20220331210014700,PP22032200038,250,6800,255,3900,5000,0
20220331210014700,PP22032200038,255,6900,260,3800,4900,0
20220331210015000,PP22032200038,260,7000,255,3850,4800,0
20220331210015000,PP22032200038,255,7100,250,3900,4700,0
20220331210015100,PP22032200038,250,7200,250,4000,4800,0
20220331210015100,PP22032200038,255,7100,255,4100,4900,0
20220331210015300,PP22032200038,260,7000,260,4200,5000,0
20220331210015300,PP22032200038,255,6900,255,4300,5100,0
20220331210015600,PP22032200038,250,6800,250,4400,5200,0
20220331210015600,PP22032200038,255,6900,255,4500,5000,0
20220331210015800,PP22032200038,260,7000,260,4200,4900,0
20220331210015800,PP22032200038,255,7100,255,4100,4800,0
20220331210016100,PP22032200038,260,7200,250,4000,4700,0
20220331210016100,PP22032200038,255,7100,255,4000,4800,0
20220331210016300,PP22032200038,250,7000,260,4200,4900,0
20220331210016300,PP22032200038,255,7000,255,4100,5000,0
20220331210016400,PP22032200038,260,7100,250,4300,5100,0
20220331210016400,PP22032200038,255,7200,255,4400,5200,0
20220331210016700,PP22032200038,250,7100,260,4200,5100,0
20220331210016700,PP22032200038,250,7000,255,4000,5000,0
20220331210016900,PP22032200038,255,6900,260,3900,5100,0
20220331210016900,PP22032200038,260,6800,255,3800,5200,0
20220331210017100,PP22032200038,255,6900,250,3850,5100,0
20220331210017100,PP22032200038,250,7000,255,3900,5000,0
20220331210017300,PP22032200038,255,7100,260,4000,4900,0
20220331210017300,PP22032200038,260,7200,255,4100,4800,0
20220331210017500,PP22032200038,255,7100,250,4200,4700,0
20220331210017500,PP22032200038,250,7000,250,4300,4800,0
20220331210017700,PP22032200038,255,6900,255,4400,4900,0
20220331210017700,PP22032200038,260,6800,260,4500,5000,0
20220331210018000,PP22032200038,255,6900,255,4200,5100,0
20220331210018000,PP22032200038,250,7000,250,4100,5200,0
20220331210018200,PP22032200038,255,7100,255,4000,5000,0
20220331210018200,PP22032200038,260,7200,260,4000,4900,0
20220331210018300,PP22032200038,255,7100,255,4200,4800,0
20220331210018300,PP22032200038,260,7000,250,4100,4700,0
20220331210018600,PP22032200038,255,7000,255,4300,4800,0
20220331210018600,PP22032200038,250,7100,260,4400,4900,0
20220331210018800,PP22032200038,255,7200,255,4200,5000,0
20220331210018800,PP22032200038,260,7100,250,4000,5100,0
20220331210019100,PP22032200038,255,7000,255,3900,5200,0
20220331210019100,PP22032200038,250,6900,260,3800,5100,0
20220331210019200,PP22032200038,250,6800,255,3850,5000,0
20220331210019200,PP22032200038,255,6900,260,3900,5100,0
20220331210019400,PP22032200038,260,7000,255,4000,5200,0
20220331210019400,PP22032200038,255,7100,250,4100,5100,0
20220331210019700,PP22032200038,250,7200,255,4200,5000,0
20220331210019700,PP22032200038,255,7100,260,4300,4900,0
20220331210019900,PP22032200038,260,7000,255,4400,4800,0
20220331210019900,PP22032200038,255,6900,250,4500,4700,0
20220331210020100,PP22032200038,250,6800,250,4200,4800,0
20220331210020100,PP22032200038,255,6900,255,4100,4900,0
20220331210020300,PP22032200038,260,7000,260,4000,5000,0
20220331210020300,PP22032200038,255,7100,255,4000,5100,0
20220331210020500,PP22032200038,250,7200,250,4200,5200,0
20220331210020500,PP22032200038,255,7100,255,4100,5000,0
20220331210020700,PP22032200038,260,7000,260,4300,4900,0
20220331210020700,PP22032200038,255,7000,255,4400,4800,0
20220331210021000,PP22032200038,260,7100,250,4200,4700,0
20220331210021000,PP22032200038,255,7200,255,4000,4800,0
20220331210021200,PP22032200038,250,7100,260,3900,4900,0
20220331210021200,PP22032200038,255,7000,255,3800,5000,0
20220331210021300,PP22032200038,260,6900,250,3850,5100,0
20220331210021300,PP22032200038,255,6800,255,3900,5200,0
20220331210021600,PP22032200038,250,6900,260,4000,5100,0
20220331210021600,PP22032200038,250,7000,255,4100,5000,0
20220331210021800,PP22032200038,255,7100,260,4200,5100,0
20220331210021800,PP22032200038,260,7200,255,4300,5200,0
20220331210022100,PP22032200038,255,7100,250,4400,5100,0
20220331210022100,PP22032200038,250,7000,255,4500,5000,0
20220331210022300,PP22032200038,255,6900,260,4200,4900,0
20220331210022300,PP22032200038,260,6800,255,4100,4800,0
20220331210022400,PP22032200038,255,6900,250,4000,4700,0
20220331210022400,PP22032200038,250,7000,250,4000,4800,0
20220331210022700,PP22032200038,255,7100,255,4200,4900,0
20220331210022700,PP22032200038,260,7200,260,4100,5000,0
20220331210022900,PP22032200038,255,7100,255,4300,5100,0
20220331210022900,PP22032200038,250,7000,250,4400,5200,0
20220331210023100,PP22032200038,255,7300,255,4200,5000,0
20220331210023100,PP22032200038,260,7200,260,4000,4900,0
20220331210023300,PP22032200038,255,7000,255,3900,4800,0
20220331210023300,PP22032200038,260,7100,250,3800,4700,0
20220331210023500,PP22032200038,255,7200,255,3850,4800,0
20220331210023500,PP22032200038,250,7100,260,3900,4900,0
20220331210023700,PP22032200038,255,7000,255,4000,5000,0
20220331210023700,PP22032200038,260,6900,250,4100,5100,0
20220331210024000,PP22032200038,255,6800,255,4200,5200,0
